Sample_Index,Actual,Predicted,Confidence
2,neutral,fearful,0.680993
3,sad,fearful,0.6867717
5,happy,angry,0.23960915
6,fearful,happy,0.5951134
8,fearful,sad,0.5300221
10,happy,angry,0.51105505
11,calm,disgust,0.48374632
13,calm,neutral,0.78417665
17,happy,angry,0.6608271
18,surprised,angry,0.36264163
22,happy,fearful,0.9357319
28,surprised,disgust,0.6597486
29,fearful,sad,0.31168705
30,angry,disgust,0.91262746
31,disgust,happy,0.52042377
38,sad,surprised,0.5257725
40,happy,fearful,0.60435426
41,angry,disgust,0.8913906
43,sad,disgust,0.72848773
45,happy,fearful,0.47303042
46,disgust,angry,0.4947987
48,happy,disgust,0.5065183
51,sad,disgust,0.60370237
55,sad,fearful,0.6412213
57,calm,disgust,0.9333147
59,surprised,fearful,0.3457834
60,neutral,sad,0.4042616
62,angry,neutral,0.497785
63,happy,calm,0.37974682
66,neutral,calm,0.82869935
69,happy,fearful,0.6718343
70,fearful,angry,0.24057256
76,sad,disgust,0.350585
77,surprised,disgust,0.81474626
78,sad,calm,0.33995223
81,sad,disgust,0.4636339
83,fearful,disgust,0.9262791
84,sad,neutral,0.7744498
86,surprised,fearful,0.5040589
88,fearful,sad,0.61107695
90,calm,neutral,0.5372367
99,calm,neutral,0.9041661
103,disgust,surprised,0.7265021
104,sad,calm,0.80017954
106,disgust,fearful,0.5816281
108,sad,calm,0.6300871
111,sad,fearful,0.5300529
114,sad,disgust,0.38278553
115,surprised,sad,0.6587577
116,happy,fearful,0.8671934
119,disgust,neutral,0.50002325
137,disgust,angry,0.6466268
138,surprised,disgust,0.6771291
139,calm,neutral,0.82138664
140,happy,fearful,0.47303042
141,angry,fearful,0.37839344
143,calm,sad,0.76031053
144,surprised,fearful,0.6244007
146,sad,fearful,0.9206443
151,calm,sad,0.43872038
152,happy,fearful,0.6955157
153,neutral,happy,0.38791752
156,angry,fearful,0.5853599
158,happy,neutral,0.84708464
160,surprised,disgust,0.2915064
165,neutral,disgust,0.23861365
166,fearful,happy,0.5236145
170,happy,fearful,0.7809796
171,angry,disgust,0.7550589
172,sad,calm,0.55029666
176,sad,surprised,0.581393
177,happy,fearful,0.8486863
179,calm,neutral,0.5966974
180,surprised,happy,0.4698199
184,sad,fearful,0.65729916
188,calm,neutral,0.9209188
189,surprised,angry,0.92800885
191,sad,calm,0.5624961
193,calm,neutral,0.54098225
194,surprised,happy,0.59416777
197,sad,fearful,0.3955199
198,sad,disgust,0.5486071
202,surprised,happy,0.6280305
205,surprised,happy,0.67991656
206,happy,disgust,0.5789135
207,angry,happy,0.3859033
209,fearful,angry,0.35099962
210,happy,disgust,0.30845585
212,surprised,disgust,0.6797998
